country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","29-08-2025 13:00:00",30.943887,76.801991,SO2,20,124,57
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","29-08-2025 13:00:00",23.80569,86.44268,PM2.5,NA,NA,NA
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","29-08-2025 13:00:00",23.707909,86.414670,CO,37,101,60
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","29-08-2025 13:00:00",23.707909,86.414670,OZONE,2,24,11
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","29-08-2025 13:00:00",16.172806,75.659694,PM10,42,43,42
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","29-08-2025 13:00:00",15.888653,74.541751,OZONE,19,20,19
India,Gujarat,Surat,"Science Center, Surat - SMC","29-08-2025 13:00:00",21.170046,72.795405,CO,33,48,37
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","29-08-2025 13:00:00",20.362421,72.918013,PM2.5,27,68,44
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","29-08-2025 13:00:00",22.969611,72.643500,SO2,3,23,11
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","29-08-2025 13:00:00",28.422681,77.148944,PM2.5,39,114,68
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","29-08-2025 13:00:00",28.3153,76.9143,PM2.5,16,329,90
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","29-08-2025 13:00:00",23.016834,72.625775,NO2,18,39,24
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","29-08-2025 13:00:00",23.016834,72.625775,CO,8,80,29
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","29-08-2025 13:00:00",23.023389,72.515201,PM10,21,90,54
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","29-08-2025 13:00:00",23.023389,72.515201,SO2,3,6,4
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","29-08-2025 13:00:00",23.076793,72.627874,OZONE,2,28,7
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","29-08-2025 13:00:00",23.043070,72.562968,NH3,11,13,11
